(1, 7.171940211620537)
(160, 5.67721815237069)
(130, 5.310425246723762)
(62, 4.474627372734478)
(86, 4.30943598473273)
(107, 4.208322818604381)
(365, 4.035149493589312)
(121, 3.9719038112276355)
(5, 3.793758876302937)
(129, 3.738847750763658)
(183, 3.5947140720951056)
(64, 3.538337568175954)
(434, 3.5379543259790958)
(128, 3.413549649673629)
(106, 3.3340616418402362)
(21, 3.163134802758971)
(532, 3.1220138719278467)
(166, 3.105019944275731)
(301, 2.9847424451526297)
(82, 2.931605044738474)
(211, 2.911705062895369)
(333, 2.909681190499702)
(105, 2.860829774131669)
(377, 2.85738586064778)
(256, 2.8179154575468814)
(283, 2.766569196781285)
(420, 2.698559068635923)
(227, 2.6946735330789875)
(44, 2.6330053190282867)
(87, 2.618879821097143)
(820, 2.603713539982144)
(96, 2.6013996992924953)
(114, 2.573296425640005)
(280, 2.551898496951616)
(249, 2.5112076642993757)
(28, 2.496123752161807)
(282, 2.4625528267391745)
(6, 2.4506514466076355)
(81, 2.4348694365602292)
(165, 2.3968123889695128)
(63, 2.3792366379721717)
(58, 2.367089078189202)
(212, 2.3468603954499843)
(340, 2.3133674192142086)
(141, 2.2905819004739194)
(115, 2.2788322066850095)
(142, 2.2523112005037227)
(170, 2.2483786491691586)
(169, 2.23131150233589)
(405, 2.195462213147527)
(137, 2.1811098809715372)
(424, 2.1579827376389766)
(533, 2.128224424181769)
(319, 2.1149112106418055)
(329, 2.1144453229897766)
(451, 2.1086641661020713)
(215, 2.102533462803668)
(74, 2.1023418971449157)
(438, 2.0730841445624786)
(494, 2.0629342476123718)
(4, 2.0466793831415377)
(290, 2.0374003185235137)
(232, 2.0356583380143554)
(366, 2.0117040588309565)
(83, 1.994735505977375)
(113, 1.9851161396759964)
(473, 1.9617007910657678)
(402, 1.959365331081334)
(493, 1.9563207445409043)
(61, 1.9387174428492289)
(11, 1.9183555258408507)
(269, 1.9179680815485143)
(133, 1.914279622871266)
(303, 1.8970806344114246)
(459, 1.865606079853572)
(20, 1.8593101204183864)
(546, 1.852407598257037)
(80, 1.8464785707769318)
(419, 1.8257577429773382)
(13, 1.8245505084787188)
(252, 1.823279024214364)
(184, 1.8230715541797335)
(498, 1.8162969955371882)
(411, 1.815470591724348)
(371, 1.8012509854016454)
(51, 1.7879536428275091)
(19, 1.7774708418157334)
(683, 1.7748722098552905)
(23, 1.7738432818609797)
(180, 1.7651379815861958)
(404, 1.762621384738993)
(296, 1.7595273955923612)
(2, 1.7586936983370365)
(116, 1.7564656228706028)
(172, 1.7528599675960976)
